"","tag_code","hatchery","brood_year","total_cwt_rel","avg_weight","release_site","first_release_date","total_cwt_estimated","total_raw_tags","relative_sar"
"1","090198","BONNEVILLE HATCHERY",2008,163683,4.12,"TANNER CR (BNVILLE)",2009-05-15,322.81,253,0.0019722
"2","090326","BONNEVILLE HATCHERY",2009,169767,5.57,"TANNER CR (BNVILLE)",2010-05-03,343.59,260,0.0020239
"3","090486","BONNEVILLE HATCHERY",2010,170842,5.65,"TANNER CR (BNVILLE)",2011-05-25,326.56,241,0.0019115
"4","090571","BONNEVILLE HATCHERY",2011,171083,4.54,"TANNER CR (BNVILLE)",2012-05-18,762.6,535,0.0044575
"5","090568","BONNEVILLE HATCHERY",2012,168873,5.29,"TANNER CR (BNVILLE)",2013-05-17,685.33,525,0.0040583
"6","055430","BONNEVILLE HATCHERY",2013,105582,5.95,"TANNER CR (BNVILLE)",2014-05-16,91.35,77,0.0008652
"7","055476","BONNEVILLE HATCHERY",2013,100470,5.44,"TANNER CR (BNVILLE)",2014-05-16,96.26,70,0.0009581
"8","090864","BONNEVILLE HATCHERY",2013,164113,5.28,"TANNER CR (BNVILLE)",2014-05-16,53.76,43,0.0003276
"9","090922","BONNEVILLE HATCHERY",2014,150734,5.87,"TANNER CR (BNVILLE)",2015-04-20,814.29,581,0.0054022
"10","090947","BONNEVILLE HATCHERY",2014,43726,21.91,"TANNER CR (BNVILLE)",2015-10-06,21.26,9,0.0004862
"11","090948","BONNEVILLE HATCHERY",2014,26210,44.91,"TANNER CR (BNVILLE)",2016-02-26,7,7,0.0002671
"12","091009","BONNEVILLE HATCHERY",2015,160298,5.82,"TANNER CR (BNVILLE)",2016-04-15,303.9,240,0.0018958
"13","091034","BONNEVILLE HATCHERY",2015,16805,45.36,"TANNER CR (BNVILLE)",2017-03-21,3,3,0.0001785
"14","091037","BONNEVILLE HATCHERY",2015,42916,22.13,"TANNER CR (BNVILLE)",2016-09-29,2.1,2,4.89e-05
"15","091137","BONNEVILLE HATCHERY",2016,167037,5.71,"TANNER CR (BNVILLE)",2017-05-01,194.59,159,0.001165
"16","091169","BONNEVILLE HATCHERY",2016,54119,17.75,"TANNER CR (BNVILLE)",2017-09-05,1,1,1.85e-05
"17","091182","BONNEVILLE HATCHERY",2017,169646,6.44,"TANNER CR (BNVILLE)",2018-04-30,981.46,857,0.0057853
"18","091226","BONNEVILLE HATCHERY",2017,50103,22.7,"TANNER CR (BNVILLE)",2018-10-02,31.85,27,0.0006357
"19","637228","BONNEVILLE HATCHERY",2017,163037,5.82,"TANNER CR (BNVILLE)",2018-06-04,404.39,309,0.0024804
"20","091285","BONNEVILLE HATCHERY",2018,171443,5.96,"TANNER CR (BNVILLE)",2019-04-19,534.93,398,0.0031202
"21","091341","BONNEVILLE HATCHERY",2018,30027,22.53,"TANNER CR (BNVILLE)",2019-10-11,55.08,40,0.0018343
"22","637411","BONNEVILLE HATCHERY",2018,192246,6.01,"TANNER CR (BNVILLE)",2019-06-12,223.71,149,0.0011637
"23","091458","BONNEVILLE HATCHERY",2019,173129,5.82,"TANNER CR (BNVILLE)",2020-04-15,2494.73,1874,0.0144097
"24","094702","BONNEVILLE HATCHERY",2019,54643,20.92,"TANNER CR (BNVILLE)",2020-10-01,22.56,15,0.0004129
"25","637418","BONNEVILLE HATCHERY",2019,199645,6.09,"TANNER CR (BNVILLE)",2020-06-17,148.85,100,0.0007456
"26","093258","CEDC NET PENS",2000,25263,16.76,"YOUNGS R & BAY",2001-07-04,120.94,42,0.0047872
"27","093259","CEDC NET PENS",2000,24466,16.89,"YOUNGS R & BAY",2001-07-04,144.92,43,0.0059233
"28","093260","CEDC NET PENS",2000,24922,20.17,"YOUNGS R & BAY",2001-07-04,291.37,81,0.0116913
"29","093261","CEDC NET PENS",2000,24809,22.17,"YOUNGS R & BAY",2001-07-04,239.9,77,0.0096699
"30","093262","CEDC NET PENS",2000,23987,18.39,"YOUNGS R & BAY",2001-07-04,178.6,50,0.0074457
"31","093509","CEDC NET PENS",2001,24211,19.99,"YOUNGS R & BAY",2002-07-02,66.05,33,0.0027281
"32","093510","CEDC NET PENS",2001,24577,16.89,"YOUNGS R & BAY",2002-07-02,68.28,35,0.0027782
"33","093511","CEDC NET PENS",2001,24225,19.33,"YOUNGS R & BAY",2002-07-02,101.77,45,0.004201
"34","093512","CEDC NET PENS",2001,24853,19.39,"YOUNGS R & BAY",2002-07-02,114.53,52,0.0046083
"35","093513","CEDC NET PENS",2001,24602,16.39,"YOUNGS R & BAY",2002-07-02,67.16,29,0.0027299
"36","093809","CEDC NET PENS",2002,23832,25.55,"YOUNGS R & BAY",2003-07-24,73.98,35,0.0031042
"37","093819","CEDC NET PENS",2002,27833,19.9,"YOUNGS R & BAY",2003-08-07,140.07,67,0.0050325
"38","093954","CEDC NET PENS",2003,25041,28.78,"YOUNGS R & BAY",2004-07-15,39.66,20,0.0015838
"39","093955","CEDC NET PENS",2003,25327,26.87,"YOUNGS R & BAY",2004-07-15,45.24,15,0.0017862
"40","093948","CEDC NET PENS",2004,24971,29.3,"YOUNGS R & BAY",2005-07-18,467.27,208,0.0187125
"41","093949","CEDC NET PENS",2004,24909,33.62,"YOUNGS R & BAY",2005-07-15,597.48,273,0.0239865
"42","094329","CEDC NET PENS",2005,24942,29.74,"YOUNGS R & BAY",2006-07-06,476.92,177,0.0191212
"43","094424","CEDC NET PENS",2005,22017,41.73,"YOUNGS R & BAY",2006-07-19,421,165,0.0191216
"44","094550","CEDC NET PENS",2006,23163,26.84,"YOUNGS R & BAY",2007-06-27,121.79,39,0.005258
"45","090126","CEDC NET PENS",2007,23120,24.26,"YOUNGS R & BAY",2008-07-01,242.51,75,0.0104892
"46","090216","CEDC NET PENS",2008,25211,26.05,"YOUNGS R & BAY",2009-07-02,301.7,85,0.011967
"47","094151","CEDC NET PENS",2009,27114,27.16,"YOUNGS R & BAY",2010-07-08,509.79,167,0.0188017
"48","090368","CEDC NET PENS",2010,24762,22.37,"YOUNGS R & BAY",2011-06-28,645.25,216,0.0260581
"49","090584","CEDC NET PENS",2011,31212,21.42,"YOUNGS R & BAY",2012-06-29,388.04,140,0.0124324
"50","090711","CEDC NET PENS",2012,25189,28.14,"YOUNGS R & BAY",2013-07-01,286.11,105,0.0113585
"51","071244","CEDC NET PENS",2013,27203,23.26,"YOUNGS R & BAY",2014-06-23,142.86,44,0.0052516
"52","094155","CEDC NET PENS",2014,26620,22.34,"YOUNGS R & BAY",2015-06-05,480.79,155,0.0180612
