"","brood_year","TagCode","hatchery","species_name","run_name","stock","psc_region","avg_weight","avg_length","first_release_date","LastRelDate","Ad_CWT","Unclipped_CWT","total_cwt_rel","release_site","release_year"
"1",2006,"633979",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",2.33,NA,2007-06-05,2007-06-05,51508,0,51508,"LEWIS R -NF  27.0168","2007"
"2",2004,"632989",NA,"Chinook","Fall","COWLITZ R    26.0002","LOCR",7.87,NA,2005-05-17,2005-06-14,2070,0,2070,"COWLITZ R -LOWER","2005"
"3",2005,"632987",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",4.12,NA,2006-06-02,2006-07-10,51810,0,51810,"LEWIS R      27.0168","2006"
"4",2009,"635185",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",3.08,NA,2010-06-21,2010-07-02,48760,0,48760,"LEWIS R -NF  27.0168","2010"
"5",2003,"632271",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",1.51,NA,2004-06-02,2004-07-02,33497,0,33497,"LEWIS R -NF  27.0168","2004"
"6",2003,"632483",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",4.53,NA,2004-06-02,2004-07-02,30596,0,30596,"LEWIS R -NF  27.0168","2004"
"7",2009,"634978",NA,"Chinook","Fall","COWLITZ R    26.0002","LOCR",4.53,NA,2010-05-13,2010-05-21,22030,0,22030,"COWLITZ R -LOWER","2010"
"8",2008,"634193",NA,"Chinook","Fall","COWLITZ R    26.0002","LOCR",3.02,NA,2009-04-09,2009-06-15,5701,0,5701,"COWLITZ R -LOWER","2009"
"9",2017,"637316",NA,"Chinook","Fall","LEWIS R      27.0168","LOCR",9.07,NA,2018-05-31,2018-06-07,53294,53,53347,"LEWIS R -NF  27.0168","2018"
"10",2007,"633792",NA,"Chinook","Fall","COWLITZ R    26.0002","LOCR",1.51,NA,2008-04-25,2008-06-08,10585,0,10585,"COWLITZ R -LOWER","2008"
"11",2015,"090596","KLASKANINE HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.78,NA,2016-05-02,2016-05-02,55009,0,55009,"KLASKANINE R N FK","2016"
"12",2010,"635186",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",2.45,NA,2011-06-06,2011-06-17,27833,0,27833,"LEWIS R -NF  27.0168","2011"
"13",2010,"092050","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",6.92,NA,2011-04-15,2011-05-16,53783,0,53783,"KLASKANINE R N FK","2011"
"14",2003,"632275","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",6.57,74,2004-06-21,2004-06-21,85347,896,86243,"FALLERT CR   27.0017","2004"
"15",2017,"094524","KLASKANINE HATCHERY","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",6.27,NA,2018-07-07,2018-07-08,100311,0,100311,"KLASKANINE R N FK","2018"
"16",2008,"090198","BONNEVILLE HATCHERY","Chinook","Fall","COLUMBIA R TULES","LOCR",4.12,NA,2009-05-15,2009-05-16,163683,0,163683,"TANNER CR (BNVILLE)","2009"
"17",2001,"631420",NA,"Chinook","Fall","LEWIS R      27.0168","LOCR",3.94,NA,2002-06-05,2002-07-03,50799,0,50799,"LEWIS R      27.0168","2002"
"18",2005,"632883","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",9.63,94,2006-06-16,2006-07-12,84095,2004,86099,"WASHOUGAL R  28.0159","2006"
"19",2002,"631878",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",2.26,NA,2003-06-02,2003-07-01,49353,0,49353,"LEWIS R -NF  27.0168","2003"
"20",2004,"632984",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",2.5,NA,2005-06-03,2005-07-05,44201,0,44201,"LEWIS R      27.0168","2005"
"21",2000,"630870",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",1.64,NA,2001-06-05,2001-07-02,28893,0,28893,"LEWIS R -NF  27.0168","2001"
"22",2000,"630871",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",2.26,NA,2001-06-05,2001-07-02,33864,0,33864,"LEWIS R -NF  27.0168","2001"
"23",2005,"633585",NA,"Chinook","Fall","COWLITZ R    26.0002","LOCR",1.81,NA,2006-04-20,2006-04-20,10584,0,10584,"COWLITZ R    26.0002","2006"
"24",2006,"633492",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",1.74,NA,2007-06-28,2007-07-02,26122,0,26122,"LEWIS R -NF  27.0168","2007"
"25",2008,"634382",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",2.32,NA,2009-06-12,2009-07-02,46475,0,46475,"LEWIS R -NF  27.0168","2009"
"26",2009,"634977",NA,"Chinook","Fall","COWLITZ R    26.0002","LOCR",4.53,NA,2010-05-18,2010-05-28,7768,7768,15536,"COWLITZ R -LOWER","2010"
"27",2013,"636622",NA,"Chinook","Fall","LEWIS R      27.0168","LOCR",3.02,NA,2014-06-05,2014-07-03,51944,0,51944,"LEWIS R      27.0168","2014"
"28",2018,"637491",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",2.66,55,2019-06-04,2019-06-27,41593,101,41694,"LEWIS R -NF  27.0168","2019"
"29",2016,"637138",NA,"Chinook","Fall","LEWIS R      27.0168","LOCR",9.07,NA,2017-06-23,2017-06-30,30630,268,30898,"LEWIS R -NF  27.0168","2017"
"30",2019,"637688",NA,"Chinook","Fall","LEWIS R      27.0168","LOCR",2.26,50,2020-05-28,2020-06-10,53429,113,53542,"LEWIS R -NF  27.0168","2020"
"31",2011,"092213","KLASKANINE HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.86,NA,2012-05-01,2012-05-08,54565,164,54729,"KLASKANINE R N FK","2012"
"32",2007,"634186",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",2.15,NA,2008-06-13,2008-07-15,54717,0,54717,"LEWIS R -NF  27.0168","2008"
"33",2017,"637228","BONNEVILLE HATCHERY","Chinook","Fall","TANNER CR (BNVILLE)","LOCR",5.82,NA,2018-06-04,2018-06-04,163037,0,163037,"TANNER CR (BNVILLE)","2018"
"34",2007,"634386","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",6.38,84,2008-07-21,2008-07-31,86345,886,87231,"GREEN R      26.0323","2008"
"35",2012,"636474","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",6.26,80,2013-06-05,2013-06-11,92778,519,93297,"KALAMA R     27.0002","2013"
